nodo,valor_dual_peso_por_t,oferta_demanda_exogena
A1,-5100.0,0
P3,-10300.0,-6000
F2,-0.0,9000
A2,-4600.0,0
P1,-7900.0,-11000
P2,-7900.0,-8000
F3,-700.0,7000
F1,-0.0,12000
